win,lose,probability
Los Angeles Clippers,Brooklyn Nets,0.9290971002629572
Boston Celtics,New Orleans Pelicans,0.7800131663311604
Dallas Mavericks,New York Knicks,0.6319802064782207
San Antonio Spurs,Miami Heat,0.7423344066530518
Utah Jazz,Memphis Grizzlies,0.5740739990450685
Cleveland Cavaliers,Toronto Raptors,0.5753052121337681
Brooklyn Nets,Los Angeles Lakers,0.545621156287694
Miami Heat,Atlanta Hawks,0.5114610100542762
Charlotte Hornets,Minnesota Timberwolves,0.7790292928433253
Portland Trail Blazers,Chicago Bulls,0.5377679061479398
Atlanta Hawks,Milwaukee Bucks,0.8021409853216347
Boston Celtics,Dallas Mavericks,0.6698472506875673
Denver Nuggets,Phoenix Suns,0.7226164906977904
Cleveland Cavaliers,Indiana Pacers,0.7152545451498282
Los Angeles Clippers,Memphis Grizzlies,0.7365782681704272
Detroit Pistons,New York Knicks,0.6817438604749766
Oklahoma City Thunder,Houston Rockets,0.7559323087847596
Orlando Magic,New Orleans Pelicans,0.6311226089102023
Washington Wizards,Philadelphia 76ers,0.9304756804317555
San Antonio Spurs,Sacramento Kings,0.8693511664044129
Golden State Warriors,Toronto Raptors,0.6844717438516028
Portland Trail Blazers,Houston Rockets,0.6026073563401821
Miami Heat,Milwaukee Bucks,0.7967373425349111
Minnesota Timberwolves,Philadelphia 76ers,0.8954886433682381
Chicago Bulls,Utah Jazz,0.5235021249729741
Washington Wizards,New York Knicks,0.7057640127776978
Golden State Warriors,Boston Celtics,0.7497822524916815
Charlotte Hornets,Atlanta Hawks,0.5086939137765171
Cleveland Cavaliers,Detroit Pistons,0.7485105808845587
Dallas Mavericks,Memphis Grizzlies,0.5641934204003535
Toronto Raptors,Denver Nuggets,0.8073059867796032
Indiana Pacers,Phoenix Suns,0.8536930655193392
San Antonio Spurs,Los Angeles Lakers,0.9683421539832763
Portland Trail Blazers,New Orleans Pelicans,0.7592437347695943
Oklahoma City Thunder,Brooklyn Nets,0.9455890660702404
Los Angeles Clippers,Sacramento Kings,0.7634257890126749
Boston Celtics,Detroit Pistons,0.5832401707033885
Houston Rockets,Utah Jazz,0.5120470736865204
Los Angeles Clippers,Chicago Bulls,0.6537782366770983
Memphis Grizzlies,Minnesota Timberwolves,0.6853416466531765
Golden State Warriors,Milwaukee Bucks,0.9181063644594242
Charlotte Hornets,New Orleans Pelicans,0.7653284138038687
Dallas Mavericks,Orlando Magic,0.5608900275585953
Phoenix Suns,Philadelphia 76ers,0.756446145369096
Miami Heat,Washington Wizards,0.5944839985305803
Portland Trail Blazers,Brooklyn Nets,0.8792779379479668
Utah Jazz,Denver Nuggets,0.6163849155029442
Chicago Bulls,Los Angeles Lakers,0.8928517147094497
Atlanta Hawks,New York Knicks,0.7524718093135614
Oklahoma City Thunder,Indiana Pacers,0.7026382825404477
Toronto Raptors,Sacramento Kings,0.7970362302529997
Charlotte Hornets,Memphis Grizzlies,0.6820628297668796
Detroit Pistons,Houston Rockets,0.5677790543048323
Golden State Warriors,Indiana Pacers,0.8057968340212786
Toronto Raptors,Los Angeles Clippers,0.5342817636104886
Orlando Magic,Milwaukee Bucks,0.5578092021549701
Boston Celtics,Minnesota Timberwolves,0.7930884906946047
Miami Heat,Philadelphia 76ers,0.955451755351558
San Antonio Spurs,Dallas Mavericks,0.8332182134881511
Washington Wizards,Phoenix Suns,0.8248826479528774
Atlanta Hawks,New Orleans Pelicans,0.807288086563265
Chicago Bulls,Denver Nuggets,0.6591633421852332
Oklahoma City Thunder,Los Angeles Lakers,0.951493790459204
Portland Trail Blazers,New York Knicks,0.7417575028985313
Boston Celtics,Brooklyn Nets,0.8911765269447326
San Antonio Spurs,Charlotte Hornets,0.717013442225731
Cleveland Cavaliers,Portland Trail Blazers,0.6894091746147806
Los Angeles Clippers,Dallas Mavericks,0.6706407413308777
Miami Heat,Detroit Pistons,0.5633953991876707
Golden State Warriors,Los Angeles Lakers,0.9821275878409388
Toronto Raptors,Houston Rockets,0.7130348805650104
Atlanta Hawks,Indiana Pacers,0.5471343560869935
New Orleans Pelicans,Minnesota Timberwolves,0.5537438635234428
Orlando Magic,Phoenix Suns,0.757141510902538
Memphis Grizzlies,Philadelphia 76ers,0.9135497192782187
Oklahoma City Thunder,Sacramento Kings,0.8101485882278843
Utah Jazz,Denver Nuggets,0.6620926687038674
San Antonio Spurs,Boston Celtics,0.6959525647200583
Cleveland Cavaliers,Dallas Mavericks,0.7878076118771679
Oklahoma City Thunder,Denver Nuggets,0.8199047885184415
Los Angeles Clippers,Detroit Pistons,0.6263040847474364
Indiana Pacers,Brooklyn Nets,0.8893415218269277
Golden State Warriors,Los Angeles Lakers,0.9756352884792074
Miami Heat,Memphis Grizzlies,0.6506703263813485
Toronto Raptors,Milwaukee Bucks,0.8348195398228637
Charlotte Hornets,New York Knicks,0.7481375132518049
Washington Wizards,Orlando Magic,0.580214701590446
Chicago Bulls,Philadelphia 76ers,0.9399324839414298
Minnesota Timberwolves,Phoenix Suns,0.5873423105054134
Portland Trail Blazers,New Orleans Pelicans,0.7628502804994446
Houston Rockets,Sacramento Kings,0.5944433660992667
Atlanta Hawks,Utah Jazz,0.6058727495369359
Charlotte Hornets,New York Knicks,0.7879908563161908
Golden State Warriors,Minnesota Timberwolves,0.9374121494777836
Miami Heat,Memphis Grizzlies,0.6844591698090605
Oklahoma City Thunder,Detroit Pistons,0.7175118743173169
San Antonio Spurs,Washington Wizards,0.7970007723516064
Sacramento Kings,Brooklyn Nets,0.7272132215807763
Dallas Mavericks,New Orleans Pelicans,0.7073686418179446
Los Angeles Clippers,Indiana Pacers,0.6058481529140769
Atlanta Hawks,Los Angeles Lakers,0.9210082168213153
Orlando Magic,Milwaukee Bucks,0.6234649238191532
Cleveland Cavaliers,Philadelphia 76ers,0.9785049068066847
Denver Nuggets,Phoenix Suns,0.6618215115046461
Portland Trail Blazers,Houston Rockets,0.5899688047039793
Golden State Warriors,Atlanta Hawks,0.7833827106423946
Charlotte Hornets,Memphis Grizzlies,0.6501041755905927
Boston Celtics,Miami Heat,0.5036593135900711
Utah Jazz,Minnesota Timberwolves,0.6817660223484019
Oklahoma City Thunder,New York Knicks,0.8364509961983759
Toronto Raptors,Philadelphia 76ers,0.9799771779555227
Washington Wizards,Sacramento Kings,0.6589497603227936
Los Angeles Clippers,Brooklyn Nets,0.9074693733411452
Charlotte Hornets,Detroit Pistons,0.5950352759606464
Cleveland Cavaliers,Milwaukee Bucks,0.8715807295867697
New Orleans Pelicans,Los Angeles Lakers,0.8199073949789426
San Antonio Spurs,Orlando Magic,0.8795610671126508
Utah Jazz,Houston Rockets,0.5295651354659653
Boston Celtics,Detroit Pistons,0.619262275927723
Chicago Bulls,Los Angeles Lakers,0.9222467746295961
San Antonio Spurs,Dallas Mavericks,0.8076426053327362
Miami Heat,Denver Nuggets,0.7260832966312503
New York Knicks,Minnesota Timberwolves,0.5012690186816043
Oklahoma City Thunder,Washington Wizards,0.7454231447698033
Atlanta Hawks,Phoenix Suns,0.8549608610759825
Portland Trail Blazers,Indiana Pacers,0.5232889161133092
Toronto Raptors,Memphis Grizzlies,0.7663684194273827
Milwaukee Bucks,Brooklyn Nets,0.6730807069214166
Charlotte Hornets,Dallas Mavericks,0.6470042543251873
Cleveland Cavaliers,Los Angeles Clippers,0.6224237537401646
Golden State Warriors,Houston Rockets,0.8622237731661238
Memphis Grizzlies,Orlando Magic,0.5764350782134071
Miami Heat,Utah Jazz,0.6009321296660232
Atlanta Hawks,Detroit Pistons,0.6057774913617171
Boston Celtics,Sacramento Kings,0.7681996455496416
Cleveland Cavaliers,Chicago Bulls,0.727037742972815
Houston Rockets,Denver Nuggets,0.6099474966543845
Los Angeles Clippers,New Orleans Pelicans,0.8093894344996435
New York Knicks,Minnesota Timberwolves,0.5766957427584004
Orlando Magic,Philadelphia 76ers,0.8943030438394823
San Antonio Spurs,Washington Wizards,0.8219667221422656
Toronto Raptors,Los Angeles Lakers,0.9600900906769901
Charlotte Hornets,Minnesota Timberwolves,0.8108958695383026
Chicago Bulls,Dallas Mavericks,0.5335425181924278
Golden State Warriors,Phoenix Suns,0.9622559678506566
Memphis Grizzlies,Los Angeles Lakers,0.8887801533162929
Milwaukee Bucks,Brooklyn Nets,0.7483944235019244
Boston Celtics,Philadelphia 76ers,0.9587803436689715
Miami Heat,Portland Trail Blazers,0.5408866818858525
Toronto Raptors,Atlanta Hawks,0.612878651776732
Utah Jazz,Denver Nuggets,0.6620926687038674
Detroit Pistons,Orlando Magic,0.6626641356087365
Los Angeles Clippers,Indiana Pacers,0.6405039014693593
Sacramento Kings,New York Knicks,0.5125079986304113
Oklahoma City Thunder,New Orleans Pelicans,0.8738062144222448
Oklahoma City Thunder,Atlanta Hawks,0.6084164121031744
Washington Wizards,Brooklyn Nets,0.8249264467647273
Portland Trail Blazers,Chicago Bulls,0.5476016929113808
Charlotte Hornets,Dallas Mavericks,0.6099625287558283
Golden State Warriors,Indiana Pacers,0.8268221777568788
Boston Celtics,Houston Rockets,0.6303098588481748
Utah Jazz,Los Angeles Lakers,0.8737875584093712
San Antonio Spurs,Milwaukee Bucks,0.8954385296064218
Memphis Grizzlies,New Orleans Pelicans,0.6169836107477364
Denver Nuggets,Philadelphia 76ers,0.879067291332847
Cleveland Cavaliers,Toronto Raptors,0.5677102751735268
Detroit Pistons,Chicago Bulls,0.5150751700986808
Memphis Grizzlies,Philadelphia 76ers,0.9420564067797418
Miami Heat,New York Knicks,0.7898348119062509
San Antonio Spurs,Minnesota Timberwolves,0.9044457657397813
Utah Jazz,Phoenix Suns,0.8209750840699611
Washington Wizards,Orlando Magic,0.6335807889079005
Atlanta Hawks,Miami Heat,0.5250293960353423
Denver Nuggets,Brooklyn Nets,0.7190382256478036
Charlotte Hornets,Detroit Pistons,0.5950352759606464
Dallas Mavericks,Sacramento Kings,0.6437107099697305
Houston Rockets,Los Angeles Lakers,0.9044707059058772
Golden State Warriors,Los Angeles Clippers,0.7178977393729531
Portland Trail Blazers,Milwaukee Bucks,0.755164371710577
Cleveland Cavaliers,New York Knicks,0.8633955016949446
Boston Celtics,Orlando Magic,0.7060719761028387
Indiana Pacers,Phoenix Suns,0.8170175830176815
San Antonio Spurs,Chicago Bulls,0.7706836117514921
Portland Trail Blazers,Memphis Grizzlies,0.6424277507691768
New Orleans Pelicans,Philadelphia 76ers,0.902557882679584
Toronto Raptors,Minnesota Timberwolves,0.8676675621098369
Golden State Warriors,Utah Jazz,0.840750666091979
Washington Wizards,Denver Nuggets,0.6680660114078587
Toronto Raptors,Boston Celtics,0.5746225116563323
Charlotte Hornets,Orlando Magic,0.7282115793813974
Cleveland Cavaliers,Miami Heat,0.6816334178687355
Indiana Pacers,Dallas Mavericks,0.5479790939005539
Phoenix Suns,Los Angeles Lakers,0.623201936812144
Atlanta Hawks,Milwaukee Bucks,0.7654982884019315
Detroit Pistons,Minnesota Timberwolves,0.7177063049388803
Oklahoma City Thunder,Houston Rockets,0.7559323087847596
Sacramento Kings,New York Knicks,0.5859670960655934
Miami Heat,Chicago Bulls,0.5565211991887923
Cleveland Cavaliers,Charlotte Hornets,0.6821734936129561
Houston Rockets,Dallas Mavericks,0.5244956122660398
Portland Trail Blazers,Indiana Pacers,0.5330475425052963
Los Angeles Clippers,New Orleans Pelicans,0.8392554791090986
Golden State Warriors,Memphis Grizzlies,0.8672040473704102
Orlando Magic,Denver Nuggets,0.571197187304553
San Antonio Spurs,Brooklyn Nets,0.9647914536514569
Utah Jazz,Sacramento Kings,0.6528976008896993
Washington Wizards,Milwaukee Bucks,0.7144293903399139
Detroit Pistons,Philadelphia 76ers,0.9591299261303956
New York Knicks,Los Angeles Lakers,0.7645965034381198
Golden State Warriors,Minnesota Timberwolves,0.9253237716392246
Oklahoma City Thunder,Boston Celtics,0.6275269247921335
New Orleans Pelicans,Phoenix Suns,0.6037520745526657
Dallas Mavericks,Denver Nuggets,0.6530198093272237
Houston Rockets,Brooklyn Nets,0.8581580395882062
Charlotte Hornets,Indiana Pacers,0.5413958771351168
Los Angeles Clippers,Portland Trail Blazers,0.5881895556484374
Miami Heat,Washington Wizards,0.631367972955055
Sacramento Kings,Los Angeles Lakers,0.8569535105651942
Toronto Raptors,Milwaukee Bucks,0.8556478037257005
Atlanta Hawks,Orlando Magic,0.73698263234522
Chicago Bulls,Minnesota Timberwolves,0.7637521302984942
Cleveland Cavaliers,Memphis Grizzlies,0.8129253709135904
Golden State Warriors,New Orleans Pelicans,0.919759318862927
New York Knicks,Phoenix Suns,0.6215127738600529
Oklahoma City Thunder,Portland Trail Blazers,0.6692455134009485
Brooklyn Nets,Los Angeles Lakers,0.6634368420419277
Detroit Pistons,Dallas Mavericks,0.5300259901824397
Houston Rockets,Sacramento Kings,0.643075960897959
Cleveland Cavaliers,Memphis Grizzlies,0.7981185657810633
Miami Heat,Indiana Pacers,0.5802095282045093
Los Angeles Clippers,Orlando Magic,0.7420569015962898
Toronto Raptors,Philadelphia 76ers,0.9713454545147386
San Antonio Spurs,Boston Celtics,0.7265129400256365
Oklahoma City Thunder,Utah Jazz,0.7211578853083026
Charlotte Hornets,Washington Wizards,0.5938836229359203
Portland Trail Blazers,Denver Nuggets,0.7188512582493098
Golden State Warriors,New York Knicks,0.92847969521455
Chicago Bulls,Milwaukee Bucks,0.6999680592977533
Indiana Pacers,New Orleans Pelicans,0.7165621282638648
San Antonio Spurs,Phoenix Suns,0.939262084676775
Boston Celtics,Charlotte Hornets,0.5397936791381139
Chicago Bulls,Milwaukee Bucks,0.7450669377480589
Houston Rockets,New Orleans Pelicans,0.7067956455944813
Memphis Grizzlies,Sacramento Kings,0.6032831759180673
Los Angeles Clippers,Miami Heat,0.5485817876584487
Orlando Magic,Brooklyn Nets,0.8111100044002784
Los Angeles Lakers,Philadelphia 76ers,0.5903188043172416
Toronto Raptors,Atlanta Hawks,0.612878651776732
Utah Jazz,Dallas Mavericks,0.5352219529477096
Detroit Pistons,Washington Wizards,0.5132812635065058
Atlanta Hawks,Charlotte Hornets,0.5256502593112455
Cleveland Cavaliers,Los Angeles Lakers,0.9695756898572548
Denver Nuggets,New York Knicks,0.5701814697330355
Detroit Pistons,Indiana Pacers,0.5005455368412097
Golden State Warriors,Portland Trail Blazers,0.792852308312571
Houston Rockets,Minnesota Timberwolves,0.6758487751039031
Oklahoma City Thunder,Phoenix Suns,0.9265644416802113
Dallas Mavericks,Sacramento Kings,0.6437107099697305
Utah Jazz,Memphis Grizzlies,0.530307371151773
Boston Celtics,Miami Heat,0.5036593135900711
Toronto Raptors,Orlando Magic,0.7778197091937507
Brooklyn Nets,Philadelphia 76ers,0.6927751566557996
San Antonio Spurs,New Orleans Pelicans,0.9160938638986627
Los Angeles Clippers,Washington Wizards,0.6556510919203393
Chicago Bulls,Detroit Pistons,0.5255628549632182
Dallas Mavericks,Denver Nuggets,0.6045281519696615
Indiana Pacers,Washington Wizards,0.5752096776680298
Minnesota Timberwolves,Phoenix Suns,0.6614605945221916
Oklahoma City Thunder,Atlanta Hawks,0.6415530973175572
Charlotte Hornets,Los Angeles Lakers,0.9402374300816837
Golden State Warriors,Utah Jazz,0.8589678448754797
San Antonio Spurs,Houston Rockets,0.8080720374334196
Los Angeles Clippers,Denver Nuggets,0.8025645142752189
Boston Celtics,Memphis Grizzlies,0.668879650590062
Miami Heat,Orlando Magic,0.7303975779254115
Cleveland Cavaliers,Milwaukee Bucks,0.8715807295867697
Indiana Pacers,New York Knicks,0.6972121920100066
New Orleans Pelicans,Philadelphia 76ers,0.8498376980222807
Portland Trail Blazers,Sacramento Kings,0.7055864721136429
Toronto Raptors,Brooklyn Nets,0.9389208316624443
Atlanta Hawks,Minnesota Timberwolves,0.817666682971768
Chicago Bulls,Washington Wizards,0.5608313996482281
Cleveland Cavaliers,Milwaukee Bucks,0.8870360443939291
Detroit Pistons,Memphis Grizzlies,0.6113260112914035
Oklahoma City Thunder,New Orleans Pelicans,0.848832031631265
Houston Rockets,Phoenix Suns,0.7730575877126071
Portland Trail Blazers,Dallas Mavericks,0.5954541500274759
Utah Jazz,Sacramento Kings,0.6528976008896993
Golden State Warriors,Brooklyn Nets,0.9636016228713518
Boston Celtics,Indiana Pacers,0.5620752125690721
San Antonio Spurs,Los Angeles Clippers,0.6603162782251962
Miami Heat,Los Angeles Lakers,0.9408566034897794
Orlando Magic,New York Knicks,0.5401758193620401
Oklahoma City Thunder,Boston Celtics,0.5947988436377418
Charlotte Hornets,Chicago Bulls,0.5916275049674333
Cleveland Cavaliers,Brooklyn Nets,0.953192543283884
Atlanta Hawks,Denver Nuggets,0.730170214281054
Golden State Warriors,Detroit Pistons,0.8189763087568367
Los Angeles Clippers,Dallas Mavericks,0.704930455521388
Houston Rockets,Memphis Grizzlies,0.5235420417842367
Washington Wizards,Milwaukee Bucks,0.6661507034270937
Sacramento Kings,Minnesota Timberwolves,0.5551144834881192
Miami Heat,New Orleans Pelicans,0.7657752971997185
Orlando Magic,Los Angeles Lakers,0.8704655202939655
Phoenix Suns,Philadelphia 76ers,0.8398585158096807
San Antonio Spurs,Portland Trail Blazers,0.7593341993230491
Toronto Raptors,Utah Jazz,0.7041437990690367
Golden State Warriors,Cleveland Cavaliers,0.6208564553952985
Los Angeles Clippers,Los Angeles Lakers,0.9368446176923199
Boston Celtics,New York Knicks,0.7635656710288934
Oklahoma City Thunder,Minnesota Timberwolves,0.8811299335796005
San Antonio Spurs,Chicago Bulls,0.7979305155600012
Charlotte Hornets,Brooklyn Nets,0.8827972669151627
Chicago Bulls,Indiana Pacers,0.5075195811784025
Cleveland Cavaliers,Detroit Pistons,0.7325390946794952
Houston Rockets,Phoenix Suns,0.8145585587825113
Los Angeles Clippers,Denver Nuggets,0.8025645142752189
Atlanta Hawks,Minnesota Timberwolves,0.7829861799007176
Dallas Mavericks,New Orleans Pelicans,0.6534266520912868
Memphis Grizzlies,Orlando Magic,0.5218370597788682
Toronto Raptors,Portland Trail Blazers,0.650598565877985
Sacramento Kings,Philadelphia 76ers,0.9241746271167924
Washington Wizards,Milwaukee Bucks,0.7144293903399139
Boston Celtics,Memphis Grizzlies,0.7036761740273438
Dallas Mavericks,Houston Rockets,0.5195162284357236
Utah Jazz,Los Angeles Lakers,0.8737875584093712
Oklahoma City Thunder,Miami Heat,0.6164161697324304
Atlanta Hawks,New York Knicks,0.7953748270005633
Chicago Bulls,Brooklyn Nets,0.8834413810564811
Denver Nuggets,Minnesota Timberwolves,0.6048168435055898
Detroit Pistons,Milwaukee Bucks,0.7397317151370513
Golden State Warriors,Toronto Raptors,0.7002264200023669
Los Angeles Clippers,New Orleans Pelicans,0.8093894344996435
Charlotte Hornets,Orlando Magic,0.6884230413195553
Portland Trail Blazers,Sacramento Kings,0.7062495873888661
San Antonio Spurs,Phoenix Suns,0.9521410706343815
Indiana Pacers,Washington Wizards,0.5313083874764356
Charlotte Hornets,Miami Heat,0.5138526581643436
Cleveland Cavaliers,Boston Celtics,0.6637729039788184
Dallas Mavericks,Los Angeles Lakers,0.86818523064002
Oklahoma City Thunder,Memphis Grizzlies,0.7618499852152745
Toronto Raptors,Phoenix Suns,0.9012476585848997
Utah Jazz,Philadelphia 76ers,0.9526297377983152
Atlanta Hawks,Detroit Pistons,0.6057774913617171
Boston Celtics,Miami Heat,0.5391750988299754
Denver Nuggets,Philadelphia 76ers,0.9195124792373985
Golden State Warriors,Dallas Mavericks,0.8649009645335195
Los Angeles Clippers,Houston Rockets,0.6712515296253383
Indiana Pacers,Chicago Bulls,0.5366390627962352
